,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition,EE
145,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241405 -0.476976 0.0 0.0,0.788386 0.670929 -0.0786458 0.131034 0.457072 0.192681 -0.258047 0.321246 0.763867 0.0241405,0.0013553 0.00964988 0.0565563 -0.619133 0.749326 0.234906 -0.753131 -0.651317 0.0926371 0.222416 -0.119562 0.967592,[0.0618260943605775 -0.532771738022835 -0.84399751730692 0.750179366509199;-0.379490461670988 0.76955888523837 -0.5135816504232 0.0538096575372792;0.92312757707527 0.352041755072896 -0.154602972572772 0.94089285861836;0 0 0 1]
150,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.683124 -0.0878088 0.13351 0.446752 0.147388 -0.237068 0.321617 0.76403 0.0241563,0.00409695 0.00901471 0.0571905 -0.615643 0.729678 0.297573 -0.745622 -0.661589 0.0796788 0.255014 -0.172825 0.951367,[0.0739106714613235 -0.542088043499932 -0.837064971037824 0.795319308347544;-0.405049317874675 0.750691533493743 -0.521916920237382 0.0653915195718876;0.911302508903271 0.377627825557426 -0.164088276946811 0.932716625971007;0 0 0 1]
160,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.659018 -0.0820508 0.135387 0.467187 0.159992 -0.353047 0.316592 0.764048 0.0241563,0.00244186 0.00902406 0.0603414 -0.641605 0.745233 0.181569 -0.760947 -0.648187 -0.0285066 0.0964493 -0.156456 0.982963,[0.0189439112129559 -0.547383804264178 -0.836667257072507 0.777889201831229;-0.25131304556331 0.807343739293141 -0.533889351601868 0.0661759155720522;0.967720456205019 0.220379348972281 -0.122270442826156 0.938180201812417;0 0 0 1]
170,1.64E+12,3.00E+00,0.455046 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788388 0.663502 -0.0863237 0.136067 0.641615 0.113182 -0.346815 -0.227402 0.764121 0.0241563,0.00256303 0.00756099 0.0603233 -0.540142 0.800693 0.259102 -0.839344 -0.53494 -0.0966461 0.0612231 -0.269681 0.961001,[-0.365259431827226 0.0985234945469514 -0.925677410593728 0.798964139813887;-0.049730745543568 0.990898467482384 0.125088289175062 0.119704598378813;0.929576462916813 0.0917243051939884 -0.357035364393707 0.962513676410445;0 0 0 1]
180,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.628157 -0.10904 0.13385 0.519438 0.0762913 -0.292259 -1.20474 0.764102 0.0241563,-0.000349835 0.00259953 0.0604693 -0.62363 0.733478 0.270355 -0.770728 -0.634713 -0.0558524 0.130634 -0.243203 0.961138,[-0.496307131385787 0.828791942695365 -0.258424354616304 0.861959656544244;0.770414624596056 0.557682741932919 0.308951882270846 0.120766506999857;0.400175633371309 -0.0457588797221153 -0.915295355271973 0.927202096733815;0 0 0 1]
185,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.621728 -0.11893 0.133685 0.525164 0.0971878 -0.253115 -1.21643 0.764175 0.0241563,-0.000549895 0.00220305 0.0607526 -0.604693 0.744204 0.28373 -0.779737 -0.625773 -0.0204355 0.162345 -0.233594 0.958685,[-0.477404344112312 0.839866974161504 -0.258279999100769 0.842610742773472;0.758180360701221 0.542305324399059 0.362032423652079 0.117526605497668;0.444125694899158 -0.0229869711191209 -0.895669563114159 0.931872208543025;0 0 0 1]
190,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.625457 -0.116172 0.133673 0.5477 0.111199 -0.204877 -1.2381 0.764084 0.0241563,-0.000297019 0.00278244 0.0604318 -0.566465 0.764087 0.308682 -0.79776 -0.602368 0.0270753 0.20663 -0.230919 0.950778,[-0.425360893693204 0.863641696927958 -0.270538591413343 0.826311899847489;0.759612281975329 0.50319851618251 0.412044214112944 0.11743465462658;0.49199318205515 -0.0302369416296852 -0.870073810760978 0.938939112927314;0 0 0 1]
195,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.626691 -0.118081 0.133619 0.568361 0.134671 -0.165117 -1.22954 0.764139 0.0241563,-0.000420741 0.00264577 0.0605027 -0.541573 0.781023 0.310962 -0.808979 -0.584785 0.0598452 0.228589 -0.219153 0.948535,[-0.399591044468971 0.870704819811234 -0.286705622438214 0.801521410801068;0.733842499537198 0.491271710772691 0.469177250159757 0.11570672221937;0.549365254683252 -0.0229177431690102 -0.835267977355079 0.947678115274648;0 0 0 1]
200,1.64E+12,3.00E+00,0.455174 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.624533 -0.118076 0.133883 0.581736 0.13831 -0.152255 -1.22048 0.764012 0.0241563,-0.000527152 0.00254989 0.060994 -0.531066 0.787172 0.313568 -0.815485 -0.575323 0.0631534 0.230118 -0.222173 0.947461,[-0.387924769403333 0.87388346950206 -0.292988148249061 0.796151097180225;0.722165032805863 0.485701892013692 0.492515317007326 0.117420462730897;0.572705891951426 -0.0205269049143353 -0.81950387887963 0.951186862273824;0 0 0 1]
205,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.621795 -0.115728 0.13437 0.587226 0.133215 -0.147527 -1.22212 0.764139 0.0241563,-0.000642324 0.00290276 0.0616678 -0.527358 0.788121 0.317419 -0.817523 -0.572432 0.0630676 0.231408 -0.22624 0.946184,[-0.377181334309902 0.878842885626165 -0.292180463810429 0.799948547102265;0.723510149526748 0.47655558471522 0.499427510464249 0.119567993706812;0.578158546231035 -0.0230207962723004 -0.815599618905628 0.951341805984959;0 0 0 1]
210,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.62073 -0.114338 0.134576 0.591016 0.130302 -0.145046 -1.22265 0.764012 0.0241563,-0.000682845 0.00293473 0.0617574 -0.522199 0.790783 0.319322 -0.820037 -0.568419 0.0666225 0.234195 -0.227068 0.945299,[-0.370877331493332 0.88147471224534 -0.292322316384466 0.802080376114587;0.724269179515247 0.471561121154144 0.503054932010568 0.120844854130706;0.58127804069025 -0.0251483734631345 -0.813316296851024 0.95156054708263;0 0 0 1]
215,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.618279 -0.112868 0.134549 0.594122 0.128121 -0.140195 -1.22653 0.764084 0.0241563,-0.00116064 0.00300942 0.0619299 -0.520226 0.791007 0.321976 -0.820814 -0.567219 0.0672892 0.235859 -0.229278 0.944351,[-0.362001704329649 0.885842446327422 -0.290237706625238 0.803688888678406;0.725696642186554 0.463230388071853 0.508706193284456 0.121912042610166;0.585080464194106 -0.0264720201618405 -0.810543078785428 0.951697987149134;0 0 0 1]
220,1.64E+12,3.00E+00,0.455046 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.615078 -0.107928 0.134767 0.592884 0.121454 -0.137444 -1.22765 0.764175 0.0241563,-0.00132009 0.00357621 0.0623921 -0.519147 0.790962 0.323822 -0.820791 -0.56703 0.0691397 0.238306 -0.229898 0.943587,[-0.356178258072922 0.888851825831181 -0.28823511269919 0.809609993433894;0.725869750796705 0.45744152276198 0.51367339636342 0.122992857307957;0.588430245105118 -0.026261853890697 -0.808121378058862 0.950112156823083;0 0 0 1]
225,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.617431 -0.104589 0.135308 0.604168 0.122659 -0.126727 -1.22092 0.764084 0.0241563,-0.000757853 0.00412054 0.0627327 -0.497719 0.801943 0.330394 -0.829375 -0.551518 0.0892587 0.253801 -0.229597 0.939611,[-0.343026461258033 0.891718118723563 -0.295248443885655 0.806658373944711;0.717958495629372 0.451578145951763 0.529728965275996 0.124493285045324;0.605696661234318 -0.0302650762245539 -0.795119852431519 0.952946863873948;0 0 0 1]
230,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241405 -0.476976 0.0 0.0,0.788387 0.621008 -0.100491 0.136091 0.632694 0.122612 -0.0953194 -1.22125 0.764175 0.0241405,-0.000226944 0.00508755 0.0634005 -0.469153 0.810274 0.351209 -0.839671 -0.532483 0.106841 0.273585 -0.244777 0.930179,[-0.300003352968518 0.904921631029045 -0.301852331286972 0.80322127536744;0.706371818950979 0.423396012127708 0.567251857913431 0.129313895360629;0.641121549785634 -0.0430425209541212 -0.766231361789885 0.959303046702539;0 0 0 1]
235,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.62222 -0.0854838 0.138393 0.650915 0.0998931 -0.0746415 -1.22318 0.764084 0.0241563,0.000310526 0.00721896 0.0658686 -0.437332 0.817259 0.375266 -0.847269 -0.514322 0.132699 0.301459 -0.259919 0.917367,[-0.257475973205016 0.917424575440133 -0.303378100067591 0.821247029690924;0.703870867542777 0.393172324372155 0.591592194989399 0.135145823683415;0.662021091089029 -0.0612182303426668 -0.746980858675109 0.957945154669552;0 0 0 1]
240,1.64E+12,3.00E+00,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788387 0.617663 -0.0760574 0.140003 0.663141 0.0837076 -0.0577589 -1.22216 0.763994 0.0241563,0.000214367 0.00769658 0.0671763 -0.428815 0.817855 0.383701 -0.848051 -0.510806 0.141019 0.311333 -0.264929 0.912624,[-0.229196425809061 0.926251328990019 -0.299211420137292 0.834300265051135;0.694890743245601 0.370953650316093 0.616052144115043 0.138756101346736;0.6816126857299 -0.0667222965835983 -0.728664725227373 0.956126504913513;0 0 0 1]
