,TimeStamp,USM,SUJvalues,JointValues,EndoscopePosition
2073,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.797771 -0.425028 0.11149 0.588276 0.765301 0.474133 -0.0760419 0.763451 0.0241563,-0.00375312 0.00929988 0.0607966 -0.558271 0.711679 0.426433 -0.384333 -0.67735 0.627286 0.735273 0.186302 0.651665
2074,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.804559 -0.44351 0.11216 0.587281 0.746287 0.488366 -0.388734 0.763704 0.0241563,-0.00257342 0.0067838 0.0606133 -0.553378 0.68546 0.473198 -0.37335 -0.711973 0.594733 0.744571 0.152442 0.649905
2075,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.810095 -0.46598 0.112827 0.570105 0.721901 0.491401 -0.691359 0.763505 0.0241563,-0.00201582 0.00390078 0.0604989 -0.538272 0.681304 0.49607 -0.3958 -0.724028 0.564913 0.744049 0.107731 0.659383
2076,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.812765 -0.491681 0.113513 0.578712 0.702771 0.502456 -0.994527 0.764084 0.0241563,-0.0019036 0.000562233 0.0604437 -0.536228 0.683307 0.495529 -0.409211 -0.723916 0.555423 0.738248 0.0950556 0.667799
2077,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.812899 -0.52193 0.114293 0.603399 0.711304 0.521095 -1.26394 0.764302 0.0241563,-0.0022681 -0.00321865 0.0604202 -0.536216 0.695934 0.477646 -0.415536 -0.710202 0.568282 0.734714 0.106241 0.670006
2078,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.811844 -0.538601 0.114724 0.621946 0.726404 0.532933 -1.28072 0.764247 0.0241563,-0.00262049 -0.00517124 0.0604417 -0.539979 0.699611 0.467938 -0.413561 -0.704755 0.576446 0.733071 0.117746 0.669883
2079,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.806866 -0.572912 0.115646 0.656413 0.779655 0.578908 -1.11819 0.764121 0.0241563,-0.00341345 -0.0087967 0.0605481 -0.547924 0.703193 0.453097 -0.406998 -0.697303 0.590019 0.730846 0.138874 0.668265
2080,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.799835 -0.605114 0.116588 0.683131 0.824933 0.62314 -0.862432 0.763849 0.0241563,-0.00409289 -0.0119622 0.0606027 -0.552453 0.703455 0.447152 -0.395385 -0.693411 0.602376 0.733806 0.155985 0.661211
2081,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.79627 -0.620089 0.117044 0.694553 0.844659 0.644849 -0.752983 0.763867 0.0241563,-0.00439335 -0.0133462 0.0605698 -0.553 0.702732 0.447613 -0.388785 -0.692803 0.607349 0.736913 0.161837 0.65633
2082,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.789226 -0.646699 0.117829 0.713435 0.873233 0.683301 -0.621871 0.764048 0.0241563,-0.00509493 -0.0155362 0.0604276 -0.550514 0.704535 0.447842 -0.376593 -0.688348 0.619966 0.745061 0.172644 0.644267
2083,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476976 0.0 0.0,0.788386 0.783111 -0.667282 0.118332 0.7362 0.896533 0.727015 -0.566786 0.76432 0.0241563,-0.00573718 -0.0168481 0.0601536 -0.547053 0.71019 0.443127 -0.369961 -0.679976 0.63306 0.75091 0.182376 0.634724
2084,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.780777 -0.675109 0.118457 0.748774 0.906412 0.747754 -0.549675 0.764338 0.0241563,-0.0059927 -0.0172033 0.0599346 -0.546182 0.7119 0.441454 -0.367788 -0.677295 0.637186 0.75261 0.185656 0.631752
2085,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.777941 -0.686973 0.118418 0.767325 0.922022 0.776245 -0.51033 0.764066 0.0241563,-0.00645426 -0.0175451 0.0592928 -0.55194 0.709211 0.438611 -0.356336 -0.676138 0.644876 0.753917 0.199638 0.625903
2086,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.776267 -0.696531 0.118076 0.770054 0.940874 0.78695 -0.564996 0.763921 0.0241563,-0.00716916 -0.0178398 0.0583361 -0.568699 0.695086 0.439811 -0.332426 -0.683305 0.650069 0.752381 0.223488 0.619658
2087,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.775136 -0.701065 0.117775 0.7636 0.956735 0.789248 -0.692367 0.763885 0.0241563,-0.00748709 -0.0179079 0.0579838 -0.574513 0.689328 0.441316 -0.325183 -0.687032 0.649805 0.751129 0.229812 0.618865
2088,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.773911 -0.70674 0.117415 0.746377 0.9729 0.780944 -0.672808 0.764139 0.0241563,-0.00748709 -0.0179079 0.0579838 -0.574513 0.689328 0.441316 -0.325183 -0.687032 0.649805 0.751129 0.229812 0.618865
2089,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.773339 -0.70924 0.117194 0.742456 0.976204 0.779459 -0.670924 0.764211 0.0241563,-0.00748709 -0.0179079 0.0579838 -0.574513 0.689328 0.441316 -0.325183 -0.687032 0.649805 0.751129 0.229812 0.618865
2090,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.772717 -0.710983 0.117091 0.7422 0.976467 0.779621 -0.67017 0.764193 0.0241563,-0.00745174 -0.0178788 0.0580262 -0.574454 0.689425 0.441242 -0.324882 -0.686823 0.650175 0.751304 0.230142 0.618528
2091,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772597 -0.711571 0.117062 0.742135 0.976522 0.779653 -0.670055 0.764211 0.0241563,-0.00748269 -0.0179068 0.0579875 -0.574553 0.689267 0.441359 -0.325072 -0.687069 0.649821 0.751146 0.229882 0.618818
2092,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772591 -0.712041 0.117042 0.74209 0.976542 0.779706 -0.669868 0.764229 0.0241563,-0.00751688 -0.0179373 0.0579448 -0.574663 0.689093 0.441487 -0.325281 -0.687339 0.64943 0.750971 0.229594 0.619136
2093,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.772586 -0.712045 0.117019 0.74207 0.976566 0.779737 -0.669822 0.764247 0.0241563,-0.00753185 -0.0179506 0.0579262 -0.574711 0.689017 0.441543 -0.325373 -0.687457 0.649259 0.750895 0.229469 0.619275
2094,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.772577 -0.712043 0.117014 0.742073 0.97659 0.779729 -0.669798 0.764175 0.0241563,-0.0075358 -0.017954 0.0579212 -0.574724 0.688997 0.441558 -0.325397 -0.687488 0.649214 0.750875 0.229436 0.619312
2095,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772586 -0.712041 0.117012 0.742059 0.9766 0.779755 -0.669761 0.764211 0.0241563,-0.00754013 -0.0179579 0.0579158 -0.574738 0.688975 0.441574 -0.325423 -0.687522 0.649165 0.750853 0.229399 0.619352
2096,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772575 -0.71204 0.11701 0.742053 0.976607 0.779766 -0.669762 0.764175 0.0241563,-0.00754206 -0.0179596 0.0579135 -0.574744 0.688965 0.441581 -0.325435 -0.687537 0.649143 0.750843 0.229383 0.619369
2097,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.772577 -0.71204 0.117009 0.742053 0.976614 0.779773 -0.669729 0.764229 0.0241563,-0.0075425 -0.01796 0.0579128 -0.574745 0.688963 0.441583 -0.325438 -0.687541 0.649137 0.75084 0.229379 0.619374
2098,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.77258 -0.71204 0.117008 0.742066 0.976621 0.779759 -0.669729 0.764121 0.0241563,-0.0163118 -0.0155383 0.053573 -0.601786 0.722431 0.340506 -0.338313 -0.616795 0.71071 0.723464 0.312496 0.615585
2099,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772574 -0.712038 0.117008 0.742053 0.976649 0.780375 -0.658157 0.764175 0.0241563,-0.0169097 -0.0155052 0.0532321 -0.605114 0.721965 0.335561 -0.337876 -0.614527 0.712879 0.720887 0.317993 0.615792
2100,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772585 -0.712018 0.117026 0.7384 0.978545 0.779019 -0.549051 0.764102 0.0241563,-0.0167308 -0.0153396 0.0533165 -0.612624 0.710056 0.347144 -0.321722 -0.62521 0.711061 0.721934 0.323928 0.611457
2101,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.772683 -0.711953 0.117135 0.709926 0.980891 0.766223 -0.480693 0.764211 0.0241563,-0.0162231 -0.0151367 0.0534254 -0.615818 0.691206 0.378155 -0.295103 -0.647373 0.702725 0.730537 0.321154 0.602638
2102,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.773323 -0.711951 0.117227 0.687007 0.980329 0.756701 -0.459845 0.764102 0.0241563,-0.0158045 -0.0150756 0.0534384 -0.61652 0.682633 0.392318 -0.285906 -0.658374 0.696277 0.733595 0.317102 0.601067
2103,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.778072 -0.71196 0.117463 0.638259 0.975231 0.730838 -0.495152 0.764157 0.0241563,-0.0145363 -0.0148808 0.0532773 -0.623785 0.670102 0.40231 -0.284301 -0.674002 0.681832 0.728056 0.310938 0.61094
2104,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.788531 -0.712012 0.11778 0.600659 0.968955 0.682731 -0.807485 0.764284 0.0241563,-0.0127584 -0.0145007 0.052891 -0.643883 0.657519 0.391255 -0.302403 -0.688423 0.659262 0.702829 0.30617 0.642098
2105,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.796038 -0.71202 0.117956 0.58282 0.968776 0.648231 -0.959171 0.763849 0.0241563,-0.0117134 -0.014271 0.0526574 -0.653935 0.653758 0.380746 -0.318138 -0.694233 0.645623 0.68641 0.301064 0.661966
2106,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.815009 -0.711621 0.118383 0.558855 0.963339 0.564682 -1.25366 0.763921 0.0241563,-0.00972516 -0.0139257 0.0522578 -0.658386 0.670813 0.341373 -0.370272 -0.683527 0.629039 0.655307 0.287748 0.698406
2107,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.836573 -0.710165 0.118985 0.580593 0.967841 0.513234 -1.29997 0.763921 0.0241563,-0.00807245 -0.0137146 0.0521431 -0.657956 0.698602 0.281152 -0.423047 -0.651764 0.629473 0.622998 0.295224 0.724371
2108,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.847243 -0.70899 0.119367 0.607411 0.972714 0.490652 -1.26273 0.764121 0.0241563,-0.007323 -0.0135681 0.0522479 -0.657599 0.709815 0.252436 -0.443917 -0.635814 0.631411 0.60869 0.303153 0.733207
2109,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.866159 -0.704956 0.120278 0.663829 0.997247 0.467488 -1.25659 0.764211 0.0241563,-0.00601345 -0.0131665 0.0528397 -0.642769 0.733995 0.219308 -0.477681 -0.607836 0.634316 0.598891 0.302958 0.741313
2110,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.879605 -0.697946 0.121324 0.718871 1.00372 0.469834 -1.26571 0.764084 0.0241563,-0.00502617 -0.0128337 0.0539475 -0.614997 0.758943 0.213967 -0.501614 -0.585911 0.636468 0.608411 0.284095 0.741028
2111,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.88715 -0.689905 0.12253 0.770095 0.992207 0.496339 -1.26969 0.763958 0.0241563,-0.00420533 -0.0125185 0.0553194 -0.607261 0.769242 0.198742 -0.514887 -0.571541 0.638932 0.605084 0.285668 0.743146
2112,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.888967 -0.685737 0.123189 0.785807 0.988088 0.503794 -1.27417 0.763994 0.0241563,-0.00387345 -0.0123269 0.0560729 -0.606615 0.771224 0.192948 -0.517244 -0.567187 0.640904 0.603721 0.288979 0.742974
2113,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.889477 -0.677211 0.124578 0.799175 0.988177 0.508859 -1.27867 0.763994 0.0241563,-0.00334309 -0.011977 0.0577017 -0.600961 0.777098 0.186981 -0.519671 -0.557631 0.647295 0.607281 0.291828 0.738948
2114,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.88682 -0.668397 0.126053 0.811797 0.985185 0.520138 -1.26679 0.764012 0.0241563,-0.00292716 -0.0117268 0.0595326 -0.592166 0.786405 0.175791 -0.523326 -0.5412 0.658204 0.612756 0.297768 0.732025
2115,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.884834 -0.664092 0.126856 0.822045 0.984028 0.530197 -1.25894 0.764012 0.0241563,-0.00267338 -0.0117042 0.0605007 -0.588876 0.791718 0.162499 -0.527756 -0.52895 0.664596 0.612128 0.305603 0.729318
2116,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.881275 -0.656135 0.128663 0.855322 0.989591 0.553929 -1.27008 0.764537 0.0241563,-0.00200906 -0.0119924 0.0625117 -0.570753 0.812488 0.118748 -0.551407 -0.486406 0.677761 0.608435 0.321354 0.725628
2117,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.879555 -0.648387 0.130744 0.931333 1.00421 0.602522 -1.28881 0.763759 0.0241563,-0.000996136 -0.0124954 0.0646663 -0.52388 0.849025 0.0685826 -0.588477 -0.418969 0.691491 0.615829 0.321897 0.71912
2118,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.87936 -0.643819 0.131861 0.990008 1.00655 0.640816 -1.30048 0.764211 0.0241563,-0.000426601 -0.0126967 0.0658133 -0.486174 0.872849 0.0420321 -0.609244 -0.373042 0.699758 0.626465 0.314594 0.71314
2119,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.879033 -0.632913 0.134222 1.14471 0.998637 0.752458 -1.30144 0.76403 0.0241563,0.00076936 -0.0129346 0.0682796 -0.417867 0.908293 -0.019668 -0.641776 -0.279792 0.714031 0.643048 0.31099 0.699836
2120,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.878868 -0.620695 0.13685 1.30021 0.985284 0.864009 -1.28785 0.764139 0.0241563,0.00232657 -0.0130269 0.0708743 -0.387051 0.917394 -0.0926143 -0.667306 -0.209382 0.714747 0.636314 0.338443 0.693223
2121,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.476784 0.0 0.0,0.788386 0.879148 -0.61485 0.138299 1.36446 0.986821 0.904819 -1.2905 0.763976 0.0241563,0.0033546 -0.0131177 0.0721546 -0.383034 0.91505 -0.126358 -0.680834 -0.18721 0.70811 0.624301 0.357257 0.694704
2122,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.883527 -0.600926 0.143073 1.48725 1.03293 0.944997 -1.29565 0.764247 0.0241563,0.00639033 -0.0133863 0.0757598 -0.378525 0.901125 -0.211399 -0.73169 -0.15144 0.664603 0.566878 0.406244 0.716668
2123,1.63793E+12,3,0.45511 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788386 0.884048 -0.59744 0.144589 1.51181 1.04864 0.938439 -1.30225 0.763921 0.0241563,0.00681783 -0.0136387 0.0768945 -0.370434 0.899618 -0.231222 -0.748923 -0.142022 0.647259 0.549449 0.412932 0.726354
2124,1.63793E+12,3,0.455174 0.0421889 0.0241563 -0.47688 0.0 0.0,0.788387 0.881771 -0.593443 0.147331 1.54879 1.06658 0.922189 -1.30681 0.763903 0.0241563,0.00683884 -0.0145277 0.0789439 -0.381604 0.884205 -0.269366 -0.772765 -0.145289 0.61784 0.507163 0.443924 0.738725
